N E X T F L O W  ~  version 21.10.6
Launching `mips_mrd.nf` [lonely_ekeblad] - revision: 7335522416
[62/fa578c] Submitted process > MRD:sam_conversion (6)
[11/c80194] Submitted process > MRD:sam_conversion (7)
[ca/573b27] Submitted process > MRD:somaticSeq_run (25NGS663-MIPSMRD)
[cf/189905] Submitted process > MRD:sam_conversion (8)
[c3/b67158] Submitted process > MRD:somaticSeq_run (25NGS647-MIPSMRD)
[ec/e0bcd4] Submitted process > MRD:sam_conversion (9)
[3e/ae53b3] Submitted process > MRD:varscan_uncoll (5)
[7e/83be97] Submitted process > MRD:vardict_uncoll (5)
[99/d526ff] Submitted process > MRD:hsmetrics_run_uncoll (25MNGS69-MIPSMRD)
[b4/cffe06] Submitted process > MRD:coverage_bedtools_uncoll (25MNGS69-MIPSMRD)
[bb/cc4ce6] Submitted process > MRD:coverage_mosdepth_uncoll (5)
[0d/7de073] Submitted process > MRD:mutect2_run_uncoll (25MNGS69-MIPSMRD)
[ff/a201ba] Submitted process > MRD:minimap_getitd (5)
[46/4f8c7d] Submitted process > MRD:coverage_mosdepth_uncoll (6)
[70/ee13ad] Submitted process > MRD:coverage_bedtools_uncoll (25NGS686-MIPSMRD)
[7b/96867b] Submitted process > MRD:vardict_uncoll (6)
[70/7df871] Submitted process > MRD:hsmetrics_run_uncoll (25NGS686-MIPSMRD)
[fa/24feb5] Submitted process > MRD:varscan_uncoll (6)
[d0/f73bd2] Submitted process > MRD:minimap_getitd (6)
[d1/512d8c] Submitted process > MRD:mutect2_run_uncoll (25NGS686-MIPSMRD)
[06/8c5eb0] Submitted process > MRD:varscan_uncoll (7)
[7d/a31cfc] Submitted process > MRD:vardict_uncoll (7)
[b5/3bbeb5] Submitted process > MRD:mutect2_run_uncoll (25NGS628-MIPSMRD)
[52/991a1e] Submitted process > MRD:minimap_getitd (7)
[fb/243f18] Submitted process > MRD:coverage_bedtools_uncoll (25NGS628-MIPSMRD)
[c6/d2c4d2] Submitted process > MRD:coverage_mosdepth_uncoll (7)
[69/0dca8c] Submitted process > MRD:hsmetrics_run_uncoll (25NGS628-MIPSMRD)
[fc/c658dd] Submitted process > MRD:GroupReadsByUmi (25MNGS69-MIPSMRD)
[31/f9d236] Submitted process > MRD:varscan_uncoll (8)
[81/8ff9cd] Submitted process > MRD:hsmetrics_run_uncoll (25RSEQ217-MIPSMRD)
[1a/9e7ce3] Submitted process > MRD:mutect2_run_uncoll (25RSEQ217-MIPSMRD)
[0a/79faac] Submitted process > MRD:coverage_bedtools_uncoll (25RSEQ217-MIPSMRD)
[b6/e3598a] Submitted process > MRD:coverage_mosdepth_uncoll (8)
[e4/9b9e3f] Submitted process > MRD:minimap_getitd (8)
[e4/18aa18] Submitted process > MRD:vardict_uncoll (8)
[a8/282558] Submitted process > MRD:coverage_mosdepth_uncoll (9)
[31/7f3877] Submitted process > MRD:coverage_bedtools_uncoll (25NGS636-MIPSMRD)
[b8/cde6f6] Submitted process > MRD:minimap_getitd (9)
[6f/acad0a] Submitted process > MRD:hsmetrics_run_uncoll (25NGS636-MIPSMRD)
[f3/cb9bdb] Submitted process > MRD:varscan_uncoll (9)
[bd/9a8ebe] Submitted process > MRD:mutect2_run_uncoll (25NGS636-MIPSMRD)
[dc/8bfcc9] Submitted process > MRD:vardict_uncoll (9)
[67/100aac] Submitted process > MRD:GroupReadsByUmi (25RSEQ217-MIPSMRD)
[cf/faa07a] Submitted process > MRD:CallMolecularConsensusReads (25NGS569-MIPSMRD)
[df/749c2d] Submitted process > MRD:GroupReadsByUmi (25NGS636-MIPSMRD)
[38/318608] Submitted process > MRD:CallMolecularConsensusReads (25NGS667-MIPSMRD)
[f8/e3b5ee] Submitted process > MRD:GroupReadsByUmi (25NGS686-MIPSMRD)
[26/089457] Submitted process > MRD:GroupReadsByUmi (25NGS628-MIPSMRD)
[ff/6592de] Submitted process > MRD:somaticSeq_run_uncoll (25NGS667-MIPSMRD)
[df/03f9ff] Submitted process > MRD:FilterConsBam (25NGS569-MIPSMRD)
[04/27b9b4] Submitted process > MRD:somaticSeq_run_uncoll (25NGS569-MIPSMRD)
[28/4fa35b] Submitted process > MRD:FilterConsBam (25NGS667-MIPSMRD)
[4a/428e75] Submitted process > MRD:ABRA2_realign (25NGS569-MIPSMRD)
[c9/132edd] Submitted process > MRD:SyntheticFastq (3)
[7a/4dfad4] Submitted process > MRD:SyntheticFastq (4)
[77/1c632f] Submitted process > MRD:ABRA2_realign (25NGS667-MIPSMRD)
[13/261bb6] Submitted process > MRD:CallMolecularConsensusReads (25MNGS69-MIPSMRD)
[51/c9de9e] Submitted process > MRD:coverage_mosdepth (3)
[78/697f6a] Submitted process > MRD:mutect2_run (3)
[90/ff51a4] Submitted process > MRD:vardict (3)
[78/bdf5da] Submitted process > MRD:coverage_bedtools (25NGS569-MIPSMRD)
[16/ae0ea0] Submitted process > MRD:varscan (3)
[25/1af6b4] Submitted process > MRD:CNS_filegen (3)
[b2/318fb4] Submitted process > MRD:hsmetrics_run (25NGS569-MIPSMRD)
[0a/a5232c] Submitted process > MRD:mutect2_run (4)
[6d/e6d1b1] Submitted process > MRD:coverage_mosdepth (4)
[37/892183] Submitted process > MRD:hsmetrics_run (25NGS667-MIPSMRD)
[86/db7496] Submitted process > MRD:vardict (4)
[97/5f83d9] Submitted process > MRD:CNS_filegen (4)
[6e/d7bc4a] Submitted process > MRD:varscan (4)
[92/7f5c6c] Submitted process > MRD:coverage_bedtools (25NGS667-MIPSMRD)
[77/74a4f8] Submitted process > MRD:FilterConsBam (25MNGS69-MIPSMRD)
[97/92699f] Submitted process > MRD:somaticSeq_run_uncoll (25MNGS69-MIPSMRD)
[b0/a9f9b3] Submitted process > MRD:ABRA2_realign (25MNGS69-MIPSMRD)
[47/78d3bd] Submitted process > MRD:SyntheticFastq (5)
[97/5949bc] Submitted process > MRD:CallMolecularConsensusReads (25NGS636-MIPSMRD)
[7b/6331d6] Submitted process > MRD:somaticSeq_run (25NGS569-MIPSMRD)
[db/529d62] Submitted process > MRD:somaticSeq_run (25NGS667-MIPSMRD)
[05/bfa52f] Submitted process > MRD:CallMolecularConsensusReads (25NGS628-MIPSMRD)
[3b/cf1fcc] Submitted process > MRD:CallMolecularConsensusReads (25NGS686-MIPSMRD)
[a2/3431fd] Submitted process > MRD:CallMolecularConsensusReads (25RSEQ217-MIPSMRD)
[c8/696962] Submitted process > MRD:coverage_bedtools (25MNGS69-MIPSMRD)
[3b/838d90] Submitted process > MRD:coverage_mosdepth (5)
[0d/a89319] Submitted process > MRD:CNS_filegen (5)
[6e/445442] Submitted process > MRD:varscan (5)
[37/27767c] Submitted process > MRD:mutect2_run (5)
[78/5b8662] Submitted process > MRD:vardict (5)
[56/c2a574] Submitted process > MRD:hsmetrics_run (25MNGS69-MIPSMRD)
[3c/f0d025] Submitted process > MRD:somaticSeq_run_uncoll (25NGS628-MIPSMRD)
[75/57594c] Submitted process > MRD:FilterConsBam (25NGS636-MIPSMRD)
[cd/a42060] Submitted process > MRD:SyntheticFastq (6)
[5a/b2c91f] Submitted process > MRD:ABRA2_realign (25NGS636-MIPSMRD)
[aa/e8c37d] Submitted process > MRD:FilterConsBam (25NGS628-MIPSMRD)
[5e/b917d6] Submitted process > MRD:SyntheticFastq (7)
[55/94d577] Submitted process > MRD:ABRA2_realign (25NGS628-MIPSMRD)
[34/20582b] Submitted process > MRD:somaticSeq_run (25MNGS69-MIPSMRD)
[44/e85463] Submitted process > MRD:FilterConsBam (25NGS686-MIPSMRD)
[ee/599056] Submitted process > MRD:somaticSeq_run_uncoll (25NGS686-MIPSMRD)
[33/024972] Submitted process > MRD:somaticSeq_run_uncoll (25NGS636-MIPSMRD)
[91/0bc864] Submitted process > MRD:somaticSeq_run_uncoll (25RSEQ217-MIPSMRD)
[77/9cccbf] Submitted process > MRD:SyntheticFastq (8)
[92/ee26d8] Submitted process > MRD:ABRA2_realign (25NGS686-MIPSMRD)
[9d/186131] Submitted process > MRD:mutect2_run (6)
[f7/1a542a] Submitted process > MRD:hsmetrics_run (25NGS636-MIPSMRD)
[c0/1d61d2] Submitted process > MRD:coverage_mosdepth (6)
[15/2cbd7e] Submitted process > MRD:vardict (6)
[d5/783995] Submitted process > MRD:CNS_filegen (6)
[6c/9a7474] Submitted process > MRD:varscan (6)
[87/d44c00] Submitted process > MRD:coverage_bedtools (25NGS636-MIPSMRD)
[5a/c05416] Submitted process > MRD:FilterConsBam (25RSEQ217-MIPSMRD)
[ac/f16ebb] Submitted process > MRD:SyntheticFastq (9)
[52/5d862c] Submitted process > MRD:ABRA2_realign (25RSEQ217-MIPSMRD)
[ce/3f567e] Submitted process > MRD:mutect2_run (7)
[b1/a671cb] Submitted process > MRD:coverage_bedtools (25NGS628-MIPSMRD)
[af/77ec5c] Submitted process > MRD:vardict (7)
[09/78cc5e] Submitted process > MRD:hsmetrics_run (25NGS628-MIPSMRD)
[c1/51d869] Submitted process > MRD:varscan (7)
[91/ddac31] Submitted process > MRD:CNS_filegen (7)
[1a/3120f1] Submitted process > MRD:coverage_mosdepth (7)
[41/f4d32a] Submitted process > MRD:CNS_filegen (8)
[b7/0246dd] Submitted process > MRD:varscan (8)
[16/40f461] Submitted process > MRD:hsmetrics_run (25NGS686-MIPSMRD)
[56/4ef2f5] Submitted process > MRD:coverage_bedtools (25NGS686-MIPSMRD)
[b8/13273b] Submitted process > MRD:coverage_mosdepth (8)
[ea/2201e1] Submitted process > MRD:mutect2_run (8)
[e4/1f1cff] Submitted process > MRD:vardict (8)
[99/c70186] Submitted process > MRD:somaticSeq_run (25NGS636-MIPSMRD)
[6f/4b6854] Submitted process > MRD:coverage_bedtools (25RSEQ217-MIPSMRD)
[25/a4366e] Submitted process > MRD:vardict (9)
[7e/fb3d24] Submitted process > MRD:CNS_filegen (9)
[70/28ca56] Submitted process > MRD:coverage_mosdepth (9)
[b8/5afbbd] Submitted process > MRD:varscan (9)
[64/0afea2] Submitted process > MRD:hsmetrics_run (25RSEQ217-MIPSMRD)
[f3/759045] Submitted process > MRD:mutect2_run (9)
[75/db2d50] Submitted process > MRD:somaticSeq_run (25NGS628-MIPSMRD)
[e1/0f164b] Submitted process > MRD:somaticSeq_run (25NGS686-MIPSMRD)
[54/2ac00b] Submitted process > MRD:espresso
[9a/ab45cf] Submitted process > MRD:somaticSeq_run (25RSEQ217-MIPSMRD)


Done! Output in the 'Final_Output' directory 

